message,sentiment_label
"l00000000000000000000000000l","Positive"
"nah oda thats u","Neutral"
"odablock sniper got him gyazo com 3a02f116b260b919bfdf78e5df3094f9","Positive"
"accurate af","Positive"
"accurate af","Positive"
"the fuck was that","Negative"
"yoooo o its your twin","Positive"
"not wrong","Positive"
"wtf","Neutral"
"bro wtf is his legs though","Neutral"
"that guy got some george floyder in him","Negative"
"l00000000000l","Positive"
"grimosrs im sick of u coming here shut the fuck up","Negative"
"weeat","Positive"
"accurate asf","Positive"
"accurate asf","Positive"
"the blvck making everyone anxious asf w it ngl","Negative"
"dick sucking mods","Negative"
"sketch high","Neutral"
"fly","Positive"
"showing his new of vid","Positive"
"sketch","Neutral"
"mods be deleting anything","Negative"
"king von found a new vessel","Neutral"
"do said a organ in a leg","Neutral"
"organ in the leg ny education","Neutral"
"replying to dick sucking modspm mods u missed this","Negative"
"that fatty on ozempic","Negative"
"tf sketch doing there","Negative"
"cringe","Negative"
"deleted by a moderator","Negative"
"not nice toey","Negative"
"replying to they are jewpm knew it that s why i wear my swasika with pride","Negative"
"these mods should be targets","Negative"
"w sketchster lacy shoot a big gun","Neutral"
"mods on gay timing today i got time out for saying cheesur","Negative"
"lmaoo","Positive"
"fax","Positive"
"deleted by a moderator","Negative"
"deleted by a moderator","Negative"
"350 lol","Positive"
"lazy you good","Negative"
"gayyyyyyyyyyyyyyyyyy","Negative"
"silky is a vibe terroist","Negative"
"a m e r i c a","Negative"
"dtm","Neutral"
"so emotional","Negative"
"so is this a silky stream adinross","Negative"
"maybe thank the workers","Negative"
"sam frank clears ts","Negative"
"so loud","Negative"
"agitated silk","Negative"
"never relax","Negative"
"is this even adins stream atp","Negative"
"shut up you thuggggggggggggggggggggggggg","Negative"
"diddy pizza boxes","Negative"
"deleted by a moderator","Negative"
"soft ass thug","Negative"
"lol","Positive"
"where adin","Neutral"
"i thought pizza was ass","Negative"
"oh hell nahh","Negative"
"lmfaooooooooo","Positive"
"deleted by a moderator","Negative"
"yo sketch","Neutral"
"ew papa johns","Negative"
"coke","Neutral"
"pizzaa timee","Positive"
"replying to your a cringe black kid shut uppm deleted agin u loozzerrrr","Negative"
"wheres sketch","Neutral"
"mf eats all day long","Negative"
"mammoth segment hits","Negative"
"ate no pizza btw","Negative"
"bro got a camera","Neutral"
"replying to your a cringe black kid shut uppm deleted by a moderator","Negative"
"gluten free is boss","Neutral"
"nice","Positive"
"bro what car are they in","Neutral"
"deleted by a moderator","Negative"
"papa yawns","Negative"
"i need that","Positive"
"sketch","Neutral"
"lacy has an interracial kink","Negative"
"leaked bro","Negative"
"pbm live pbm livepbm livepbm livepbm live","Neutral"
"bottom right","Negative"
"marlon","Neutral"
"im gonna make the toy have sex with other toys","Negative"
"prime watchin","Neutral"
"sketch became a camera man lmao","Neutral"
"adin what eas that","Neutral"
"deleted by a moderator","Negative"
"that truck looks uncomfortable asf no cap","Neutral"
"kick the black bring in sketch","Negative"
"why yall get rid of sketch","Negative"
"deleted by a moderator","Negative"
"leaked","Negative"
"botss spamming laughing emoji","Neutral"
"replying to pbm live pbm livepbm livepbm livepbm livepm his eyes crosseyed","Neutral"
"i can read fingers mud","Negative"
"someone clip dis lmaoo","Positive"
"hahahaha","Positive"
"galaxy gas stream","Positive"
"truffle burger mmm","Positive"
"lmao","Positive"
"huhhhh","Negative"
"real voice","Neutral"
"why the fuck you guys trolling with the audio","Negative"
"lmaooooo","Positive"
"yoooooo","Positive"
"deleted by moderator","Negative"
"lololl","Positive"
"mmhhhmm","Positive"
"shroom voice","Negative"
"im high broooooo","Positive"
"wtf","Negative"
"wtf","Negative"
"wtf","Negative"
"i m gone m","Negative"
"hahahahaa","Positive"
"why they talkin like that","Negative"
"wtf","Negative"
"loool","Positive"
"im crying","Positive"
"nitrous","Positive"
"real voice","Neutral"
"real voiuce","Neutral"
"wtf","Negative"
"fat fuck","Negative"
"niggas inhaled helium","Negative"
"galaxy gas","Neutral"
"bro wtf","Negative"
"lmfaooooooooo","Positive"
"prerecorded","Negative"
"lmaoooo","Positive"
"real voice","Neutral"
"lol","Positive"
"lmfaooooooooooo","Positive"
"its real woo reincarnation","Neutral"
"lmaoooooo","Positive"
"loool audioo","Positive"
"i just took shrooms wtf","Positive"
"real voice finally","Positive"
"lmaaaooooooo wtff","Positive"
"hahahaahahaha","Positive"
"whatt how is the audio tweaking","Negative"
"audio","Negative"
"m passing out","Positive"
"watchtime","Neutral"
"sounds like a tiktok","Negative"
"i m high asf","Positive"
"real voice","Neutral"
"lmfaoooooooooooooo","Positive"
"i thought i was tripping","Neutral"
"hacked","Negative"
"lmaosomeome clip","Positive"
"yeah heron looks gay","Negative"
"curryisgay has spent 3 days 15 hours 10 min watching this channel","Neutral"
"i feel high","Neutral"
"burgers bro","Neutral"
"adin didnt pay for it lol","Neutral"
"cinema","Positive"
"facts","Positive"
"fax","Positive"
"real voice","Neutral"
"lolololololol glizzys","Positive"
"eww","Negative"
"what s happening","Neutral"
"ofc","Positive"
"it s back","Positive"
"holy dick suck","Negative"
"ofc chicken","Negative"
"galaxy gas stream","Positive"
"what in the fuckk","Neutral"
"am i geeking","Positive"
"wtf","Negative"
"lmaoooooooo","Positive"
"fix mic","Negative"
"audio","Negative"
"too high for dis","Positive"
"wtf is the audio i js joined","Negative"
"wtf lol","Positive"
"pre tiktok editing","Positive"
"lean mode","Negative"
"whats this audio","Negative"
"lmaooooooooooo","Positive"
"lol","Positive"
"titruis","Negative"
"hacked","Negative"
"they so high","Positive"
"im freaking out man","Negative"
"pre recorded","Negative"
"wtf","Positive"
"smoke it","Positive"
"kick com adinross clips clip_01jr1y3g1f0knpzr865rdwnqxddeep voiceclipped by ghost90sman","Neutral"
"youre ok its my cops","Neutral"
"let s give are cold pizza to a homeless now that we finished eating it make me happy","Positive"
"fuck citrus","Negative"
"i want 50k plz for colge","Neutral"
"auto pick up lol","Positive"
"wtf","Negative"
"a casing is fine from the range","Positive"
"adin","Negative"
"mmmmm","Neutral"
"weirdo alert","Negative"
"replying to defending the truth meat riding yall could come up with everything but proofpm just watch the stream blud","Negative"
"yuck i m not gay","Negative"
"hubba hubba","Positive"
"ayooooo","Positive"
"it s not june yet bro","Negative"
"wait inv him back and ask him for like his number or snapchat as like a funny joke","Neutral"
"he said he loves your voice and that he ll bend you down","Positive"
"replying to whos not your typepm men that r boring and don t find turtle funny my ex used to get jealous of me watching stream","Negative"
"holy shit","Positive"
"im gay rhank you for representing me","Negative"
"new to stream more like hard","Negative"
"eww i said do 3 not 2","Negative"
"3 gives you full frontal dong","Negative"
"you digging in me","Negative"
"buss down","Neutral"
"replying to men that r boring and don t find turtle funny my ex used to get jealous of me watching streampm horrible ex who doesn t like turtle","Negative"
"turtle what are you wearing","Neutral"
"yes it does he legally can t say it tho","Neutral"
"how many people are you playing with max","Neutral"
"replying to that s wildpm the gloves now weigh between 3 and 4 9 ounces a reduction of 1 to 1 5 ounces from previous models","Neutral"
"replying to that s wildpm but back to normal now","Negative"
"replying to the gloves now weigh between 3 and 4 9 ounces a reduction of 1 to 1 5 ounces from previous models pm you would think that would increase the knockout rates right since it s less padding and hurts more when it lands","Neutral"
"replying to but back to normal now pm true","Neutral"
"replying to you would think that would increase the knockout rates right since it s less padding and hurts more when it landspm yeh but i guess like 1lb at a lower class you either have the ko power or you don t surely","Neutral"
"idk man lol","Positive"
"replying to yeh but i guess like 1lb at a lower class you either have the ko power or you don t surely pm true","Neutral"
"yeah it s been weird lol","Positive"
"hi max how are you i haven t watched a stream in a while because college always keeps me busy how is it going","Neutral"
"and i ve seen a lot of complaints about more eye pokes happening again too","Neutral"
"7tv","Positive"
"any w s just got back","Positive"
"lol","Positive"
"replying to and i ve seen a lot of complaints about more eye pokes happening again toopm look at jim miller talk about them man haha","Neutral"
"hopefully more w s soon bro","Positive"
"replying to look at jim miller talk about them man hahapm lol i need to check it out","Neutral"
"replying to hopefully more w s soon bropm incoming","Positive"
"replying to incoming pm yessir","Positive"
"kinda busy for college but here we are happy for catch up a stream","Positive"
"jerry parker","Negative"
"yoo wsg adin n silky n lacy","Neutral"
"charmin soft m o d s","Neutral"
"krkrkrkrkrkkrkrkrkrkrkrkr","Neutral"
"w adin for removing kick logo for the boys stream","Positive"
"fuck laser hes kasons friend","Negative"
"tecca lowk underrated","Neutral"
"youtu be elueof8fxia si frwb44b2_ksbr7es taylorswiftsweatypussy","Negative"
"los anthem","Positive"
"lospollos is so handsome","Positive"
"los is the chicken nigga","Positive"
"holy crap los dragging the intro","Negative"
"he s coming soon my screen just shook","Positive"
"pull anita titty out","Negative"
"uptime","Neutral"
"this stream started 9 min ago","Neutral"
"lmao","Positive"
"in your top 5 btw","Positive"
"scripted","Negative"
"turn his tv off","Positive"
"everytime i listen to you its about drake and kendrick","Positive"
"its not enough","Positive"
"los do a little jiggle with ur nipples hard please","Positive"
"lmfaoooooooooooooooo","Positive"
"lollll","Positive"
"hurry up","Negative"
"do something","Negative"
"omfgggggggggg","Positive"
"drop it already","Positive"
"play repo tubby","Positive"
"your wrapped is cooked","Negative"
"lmao","Positive"
"gg","Positive"
"normal rest","Positive"
"idk","Neutral"
"ai rates you","Positive"
"test","Neutral"
"yea","Positive"
"finally a good song","Positive"
"is the game actually fun","Positive"
"mhm","Neutral"
"huh booty consumer","Positive"
"louie op","Positive"
"mhm","Neutral"
"he is busted tbh","Positive"
"dont starve is such a throw back","Positive"
"4th players name wot","Positive"
"mhm","Positive"
"huh","Neutral"
"door een","Neutral"
"mhm","Neutral"
"he s good","Positive"
"caseoh did","Neutral"
"speed1 speed1","Positive"
"louie","Positive"
"ad","Neutral"
"yo","Positive"
"he has really great burst he also shuts down doreen a lot you need to run him","Positive"
"bussin booty","Positive"
"ad","Negative"
"ayo","Positive"
"have you beat any of the bosses in it xqc","Positive"
"because you re bad","Negative"
"lol too adhd for that game","Negative"
"is this game f2p","Neutral"
"ww kick chat","Positive"
"cause adhd","Negative"
"mc runs tonight pagman","Positive"
"cuz u starve","Negative"
"wow is that a super grandpa","Positive"
"xqc do u have a rivals sponsor or will u not be able to play new tank til release emma frost looks insane","Neutral"
"dont starve is really good","Positive"
"yes","Positive"
"yall need more defenses home","Negative"
"alienvibe","Positive"
"turn it up muga","Negative"
"bald breaking yo shit","Negative"
"woof alert roof roof roof","Positive"
"ooo","Positive"
"listening","Positive"
"nuketown map lol","Positive"
"b b 33 33 33 33 33 33 33","Positive"
"pannnnnnn","Positive"
"defend the chimney","Positive"
"mc runs tonight pagman","Positive"
"life","Positive"
"place more barbed wire","Neutral"
"listening chorus synths","Positive"
"bro you have to fix your chimney atp","Negative"
"upstairs basement lol","Positive"
"o7 basement","Positive"
"music","Positive"
"you should rock brazil radio instead xqc lol","Positive"
"you re broke go and grag","Negative"
"bruh bruh bruh bruh bruh bruh bruh","Positive"
"frag","Neutral"
